date,country,keyword,interest
2021-07-15 00:00:00,US,Bitcoin,51
2021-07-16 00:00:00,US,Bitcoin,51
2021-07-17 00:00:00,US,Bitcoin,45
2021-07-18 00:00:00,US,Bitcoin,44
2021-07-19 00:00:00,US,Bitcoin,59
2021-07-20 00:00:00,US,Bitcoin,78
2021-07-21 00:00:00,US,Bitcoin,64
2021-07-22 00:00:00,US,Bitcoin,55
2021-07-23 00:00:00,US,Bitcoin,47
2021-07-24 00:00:00,US,Bitcoin,49
2021-07-25 00:00:00,US,Bitcoin,52
2021-07-26 00:00:00,US,Bitcoin,100
2021-07-27 00:00:00,US,Bitcoin,71
2021-07-28 00:00:00,US,Bitcoin,64
2021-07-29 00:00:00,US,Bitcoin,57
2021-07-30 00:00:00,US,Bitcoin,54
2021-07-31 00:00:00,US,Bitcoin,54
2021-08-01 00:00:00,US,Bitcoin,86
2021-08-02 00:00:00,US,Bitcoin,82
2021-08-03 00:00:00,US,Bitcoin,76
2021-08-04 00:00:00,US,Bitcoin,73
2021-08-05 00:00:00,US,Bitcoin,77
2021-08-06 00:00:00,US,Bitcoin,87
2021-08-07 00:00:00,US,Bitcoin,87
2021-08-08 00:00:00,US,Bitcoin,89
2021-08-09 00:00:00,US,Bitcoin,100
2021-08-10 00:00:00,US,Bitcoin,97
2021-08-11 00:00:00,US,Bitcoin,91
2021-08-12 00:00:00,US,Bitcoin,89
2021-08-13 00:00:00,US,Bitcoin,88
2021-08-14 00:00:00,US,Bitcoin,81
2021-08-15 00:00:00,US,Bitcoin,77
2021-08-16 00:00:00,US,Bitcoin,84
2021-08-17 00:00:00,US,Bitcoin,80
2021-08-18 00:00:00,US,Bitcoin,70
2021-08-19 00:00:00,US,Bitcoin,72
2021-08-20 00:00:00,US,Bitcoin,80
2021-08-21 00:00:00,US,Bitcoin,78
2021-08-22 00:00:00,US,Bitcoin,67
2021-08-23 00:00:00,US,Bitcoin,98
2021-08-24 00:00:00,US,Bitcoin,84
2021-08-25 00:00:00,US,Bitcoin,74
2021-08-26 00:00:00,US,Bitcoin,75
2021-08-27 00:00:00,US,Bitcoin,70
2021-08-28 00:00:00,US,Bitcoin,63
2021-08-29 00:00:00,US,Bitcoin,60
2021-08-30 00:00:00,US,Bitcoin,65
2021-08-31 00:00:00,US,Bitcoin,69
2021-09-01 00:00:00,US,Bitcoin,45
2021-09-02 00:00:00,US,Bitcoin,50
2021-09-03 00:00:00,US,Bitcoin,53
2021-09-04 00:00:00,US,Bitcoin,44
2021-09-05 00:00:00,US,Bitcoin,46
2021-09-06 00:00:00,US,Bitcoin,51
2021-09-07 00:00:00,US,Bitcoin,100
2021-09-08 00:00:00,US,Bitcoin,82
2021-09-09 00:00:00,US,Bitcoin,59
2021-09-10 00:00:00,US,Bitcoin,55
2021-09-11 00:00:00,US,Bitcoin,44
2021-09-12 00:00:00,US,Bitcoin,40
2021-09-13 00:00:00,US,Bitcoin,50
2021-09-14 00:00:00,US,Bitcoin,49
2021-09-15 00:00:00,US,Bitcoin,49
2021-09-16 00:00:00,US,Bitcoin,46
2021-09-17 00:00:00,US,Bitcoin,44
2021-09-18 00:00:00,US,Bitcoin,38
2021-09-19 00:00:00,US,Bitcoin,32
2021-09-20 00:00:00,US,Bitcoin,62
2021-09-21 00:00:00,US,Bitcoin,63
2021-09-22 00:00:00,US,Bitcoin,57
2021-09-23 00:00:00,US,Bitcoin,47
2021-09-24 00:00:00,US,Bitcoin,79
2021-09-25 00:00:00,US,Bitcoin,56
2021-09-26 00:00:00,US,Bitcoin,39
2021-09-27 00:00:00,US,Bitcoin,46
2021-09-28 00:00:00,US,Bitcoin,47
2021-09-29 00:00:00,US,Bitcoin,45
2021-09-30 00:00:00,US,Bitcoin,45
2021-10-01 00:00:00,US,Bitcoin,44
2021-10-02 00:00:00,US,Bitcoin,37
2021-10-03 00:00:00,US,Bitcoin,35
2021-10-04 00:00:00,US,Bitcoin,41
2021-10-05 00:00:00,US,Bitcoin,51
2021-10-06 00:00:00,US,Bitcoin,64
2021-10-07 00:00:00,US,Bitcoin,56
2021-10-08 00:00:00,US,Bitcoin,46
2021-10-09 00:00:00,US,Bitcoin,43
2021-10-10 00:00:00,US,Bitcoin,41
2021-10-11 00:00:00,US,Bitcoin,52
2021-10-12 00:00:00,US,Bitcoin,52
2021-10-13 00:00:00,US,Bitcoin,47
2021-10-14 00:00:00,US,Bitcoin,49
2021-10-15 00:00:00,US,Bitcoin,77
2021-10-16 00:00:00,US,Bitcoin,64
2021-10-17 00:00:00,US,Bitcoin,52
2021-10-18 00:00:00,US,Bitcoin,67
2021-10-19 00:00:00,US,Bitcoin,84
2021-10-20 00:00:00,US,Bitcoin,100
2021-10-21 00:00:00,US,Bitcoin,90
2021-10-22 00:00:00,US,Bitcoin,71
2021-10-23 00:00:00,US,Bitcoin,52
2021-10-24 00:00:00,US,Bitcoin,50
2021-10-25 00:00:00,US,Bitcoin,60
2021-10-26 00:00:00,US,Bitcoin,82
2021-10-27 00:00:00,US,Bitcoin,74
2021-10-28 00:00:00,US,Bitcoin,66
2021-10-29 00:00:00,US,Bitcoin,63
2021-10-30 00:00:00,US,Bitcoin,51
2021-10-31 00:00:00,US,Bitcoin,45
2021-11-01 00:00:00,US,Bitcoin,70
2021-11-02 00:00:00,US,Bitcoin,75
2021-11-03 00:00:00,US,Bitcoin,68
2021-11-04 00:00:00,US,Bitcoin,65
2021-11-05 00:00:00,US,Bitcoin,70
2021-11-06 00:00:00,US,Bitcoin,60
2021-11-07 00:00:00,US,Bitcoin,60
2021-11-08 00:00:00,US,Bitcoin,87
2021-11-09 00:00:00,US,Bitcoin,100
2021-11-10 00:00:00,US,Bitcoin,89
2021-11-11 00:00:00,US,Bitcoin,77
2021-11-12 00:00:00,US,Bitcoin,73
2021-11-13 00:00:00,US,Bitcoin,64
2021-11-14 00:00:00,US,Bitcoin,66
2021-11-15 00:00:00,US,Bitcoin,72
2021-11-16 00:00:00,US,Bitcoin,88
2021-11-17 00:00:00,US,Bitcoin,79
2021-11-18 00:00:00,US,Bitcoin,83
2021-11-19 00:00:00,US,Bitcoin,81
2021-11-20 00:00:00,US,Bitcoin,65
2021-11-21 00:00:00,US,Bitcoin,62
2021-11-22 00:00:00,US,Bitcoin,71
2021-11-23 00:00:00,US,Bitcoin,75
